t_sec,symbol,bid,bid_size,ask,ask_size
2189.045,S1,320.00,200,395.00,350
2189.066,S1,320.00,200,395.00,250
2193.961,S1,320.00,200,395.00,150
2194.844,S1,320.00,200,395.00,50
2195.364,S1,320.00,200,399.00,450
2195.942,S1,334.00,300,399.00,450
2196.603,S1,334.00,300,399.00,350
2196.758,S1,334.00,300,399.00,250
2196.931,S1,334.00,300,399.00,150
2197.230,S1,334.00,300,399.00,50
2197.462,S1,334.00,300,399.99,750
2197.985,S1,334.00,300,399.99,650
2198.509,S1,334.00,300,399.99,550
2198.713,S1,334.00,300,399.99,450
2198.874,S1,334.00,300,399.99,350
2199.074,S1,334.00,300,399.99,250
2199.275,S1,334.00,300,399.99,150
2199.498,S1,334.00,300,399.00,1000
2199.558,S1,334.00,300,399.00,900
2199.926,S1,334.00,300,399.00,800
2200.669,S1,334.00,300,399.00,700
2200.912,S1,334.00,300,399.00,600
2201.143,S1,334.00,300,399.00,500
2201.365,S1,334.00,300,399.00,400
2201.710,S1,334.00,300,399.00,300
2202.178,S1,334.00,300,399.00,200
2202.885,S1,334.00,300,399.00,300
2203.417,S1,334.00,300,399.00,1300
2204.351,S1,334.00,300,399.00,1200
2204.876,S1,334.00,300,399.00,1100
2205.128,S1,334.00,300,399.00,1000
2205.331,S1,334.00,300,399.00,900
2205.559,S1,334.00,300,399.00,800
2205.850,S1,334.00,300,399.00,700
2206.012,S1,334.00,300,399.00,600
2206.145,S1,334.00,300,395.00,250
2206.247,S1,334.00,300,395.00,150
2206.460,S1,334.00,300,395.00,50
2206.712,S1,334.00,300,399.00,550
2207.351,S1,334.00,300,395.00,250
2207.556,S1,334.00,300,395.00,150
2207.718,S1,334.00,300,395.00,50
2207.942,S1,334.00,300,399.00,500
2208.075,S1,334.00,300,399.00,400
2208.239,S1,334.00,300,399.00,300
2208.329,S1,334.00,300,399.00,400
2208.519,S1,334.00,300,395.00,250
2208.639,S1,334.00,300,395.00,150
2208.829,S1,334.00,300,395.00,50
2208.992,S1,334.00,300,399.00,350
2209.164,S1,334.00,300,399.00,250
2209.236,S1,334.00,300,395.00,250
2209.326,S1,334.00,300,395.00,150
2209.645,S1,334.00,300,395.00,50
2209.806,S1,334.00,300,399.00,200
2210.042,S1,334.00,300,399.00,100
2210.180,S1,334.00,300,399.99,650
2210.330,S1,334.00,300,399.99,550
2210.401,S1,334.00,300,395.00,250
2210.472,S1,334.00,300,395.00,150
2210.633,S1,334.00,300,395.00,50
2210.777,S1,334.00,300,399.99,500
2210.950,S1,334.00,300,399.99,400
2211.142,S1,334.00,300,399.99,300
2211.282,S1,334.00,300,399.99,200
2211.368,S1,334.00,300,399.00,1000
2211.438,S1,334.00,300,399.00,900
2211.658,S1,334.00,300,399.00,800
2211.810,S1,334.00,300,399.00,700
2211.952,S1,334.00,300,395.00,250
2211.981,S1,334.00,300,395.00,150
2212.193,S1,334.00,300,395.00,50
2212.326,S1,334.00,300,399.00,650
2212.366,S1,334.00,300,399.00,1650
2212.366,S1,334.00,300,399.00,2650
2212.366,S1,334.00,300,399.00,3650
2212.426,S1,334.00,300,399.00,3550
2212.576,S1,334.00,300,399.00,4550
2212.657,S1,334.00,300,399.00,4450
2212.707,S1,334.00,300,399.00,4350
2212.746,S1,334.00,300,395.00,250
2212.857,S1,334.00,300,395.00,150
2212.963,S1,334.00,300,395.00,400
2213.005,S1,334.00,300,395.00,300
2213.287,S1,334.00,300,395.00,550
2213.612,S1,334.00,300,395.00,800
2213.793,S1,334.00,300,395.00,700
2213.934,S1,334.00,300,395.00,950
2213.964,S1,334.00,300,395.00,850
2214.075,S1,334.00,300,395.00,1100
2214.126,S1,334.00,300,395.00,1000
2214.216,S1,334.00,300,395.00,1250
2214.295,S1,334.00,300,395.00,1150
2214.368,S1,334.00,300,395.00,1400
2214.448,S1,334.00,300,395.00,1300
2214.597,S1,334.00,300,395.00,1200
2214.759,S1,334.00,300,395.00,1100
2214.788,S1,334.00,300,395.00,1350
2214.901,S1,334.00,300,395.00,1250
2215.033,S1,334.00,300,395.00,1500
2215.052,S1,334.00,300,395.00,1400
2215.194,S1,334.00,300,395.00,1650
2215.194,S1,334.00,300,395.00,1550
2215.337,S1,334.00,300,395.00,1800
2215.346,S1,334.00,300,395.00,1700
2215.489,S1,334.00,300,395.00,1950
2215.651,S1,334.00,300,395.00,2200
2215.681,S1,334.00,300,395.00,2100
2215.873,S1,334.00,300,395.00,2000
2215.995,S1,334.00,300,395.00,1900
2216.407,S1,334.00,300,395.00,1800
2216.477,S1,334.00,300,395.00,1700
2216.568,S1,334.00,300,395.00,1950
2216.598,S1,334.00,300,395.00,1850
2216.658,S1,334.00,300,395.00,1750
2216.853,S1,334.00,300,395.00,1650
2216.853,S1,334.00,300,395.00,1550
2216.924,S1,334.00,300,395.00,1450
2217.005,S1,334.00,300,395.00,1350
2217.146,S1,334.00,300,395.00,1250
